1970-01-01,02-epel4,03-epel5,04-epel6,05-epel7,06-f03,07-f04,08-f05,09-f06,10-f07,11-f08,12-f09,13-f10,14-f11,15-f12,16-f13,17-f14,18-f15,19-f16,20-f17,21-f18,22-f19,23-f20,24-f21,25-f22,26-f23,27-f24,28-f25,29-f26,30-f27,31-f28,32-f29,33-rawhide,34-unk_rel,35-epel,36-fedora,37-alpha,38-arm,39-arm64,40-ia64,41-mips,42-ppc,43-s390,44-sparc,45-tilegx,46-x86_32,47-x86_64,48-x86_32_e,49-x86_32_f,50-x86_64_e,51-x86_64_f,52-ppc_e,53-ppc_f,54-unk_arc,55-centos,56-rhel,57-ppc64,58-ppc64le,59-modular,60-modular_rawhide,61-modular_f27,62-modular_f28,63-modular_f29,64-modular_f30,65-f30,66-f31,67-f32,68-f33,69-modular_f31,70-modular_f32,71-modular_f33,72-epel8
1970-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,254,38509,640595,1169263,1,5,7,147,130,2130,266,370,22,135,73,177,45,49,62,14,57,3458,3593,5708,12456,7202,15472,9564,13978,18104,31321,1431,1608,1901631,266037,0,4015,11407,2,1,21,124,0,0,45988,2275916,33486,10585,1858358,144769,352,347,665,0,1,246,697,170411,605,4,3613,29681,57687,60393,79585,82,0,78759,62,0,53009
2020-01-02,253,38948,645909,1231083,1,5,8,208,218,2234,304,402,24,138,89,235,58,58,88,23,63,4190,3926,6088,15019,7850,16805,11265,14234,20201,35494,1559,1991,1973440,306349,0,4177,11500,2,2,25,138,0,0,50654,2410634,36243,12348,1927443,161215,398,334,923,0,0,251,720,197881,635,5,3706,33186,66554,70578,94909,75,0,93731,63,1,57247
2020-01-03,253,38994,653719,1258163,3,5,7,177,204,2245,304,391,25,137,92,235,46,60,78,27,59,3909,3953,6121,15072,7967,16824,11477,14515,20277,35276,1653,2026,2008929,307017,0,4226,11281,2,1,22,138,0,0,50440,2446931,36165,12205,1963377,161454,404,335,890,0,0,238,732,197616,687,4,3711,33023,66434,70501,95293,83,1,93690,67,0,57800
2020-01-04,257,38803,626447,1186845,0,3,7,157,174,2189,270,361,25,139,83,215,48,56,70,18,57,3956,3715,5977,13461,7599,16169,10775,13708,18918,32296,1549,1950,1907578,284585,0,4149,11913,2,0,30,133,0,0,49055,2308677,35395,11545,1862146,150464,351,345,815,0,1,244,690,182240,645,4,3644,30446,60660,64119,88393,77,1,86784,57,0,55225
2020-01-05,212,30106,570071,1111472,1,3,6,133,91,1782,247,332,19,116,65,151,36,35,57,13,48,3040,3597,5767,13073,7166,15550,9957,12481,17919,31530,1417,5260,1766188,273007,0,4099,10049,2,0,18,122,0,0,42053,2164831,29817,10178,1728156,143952,338,302,670,0,0,223,640,178843,591,5,3543,29929,59718,62133,86180,62,0,85002,55,0,54327
2020-01-06,71,8713,266943,764747,0,0,4,46,65,659,112,122,4,34,38,85,21,24,28,2,24,1438,2790,4775,10531,5713,11898,6249,9776,13252,23909,931,5369,1086410,197497,0,3275,4193,2,0,6,76,0,0,21450,1386247,13752,6351,1070016,109483,229,212,219,0,0,159,436,127166,379,1,3121,23271,44831,46171,58766,30,0,55543,20,0,45936
2020-01-07,125,14251,283039,772491,0,3,2,119,150,1193,161,167,6,76,41,99,25,23,36,11,35,1586,3082,4815,10126,6178,13193,7277,11514,14458,26199,1236,8655,1118878,226208,0,3250,4896,2,1,11,86,0,0,23512,1466344,14690,7291,1100885,119523,259,214,327,0,0,164,507,145820,461,3,3029,25090,50154,53255,71075,67,0,67048,35,0,48972
2020-01-08,251,38952,671848,1270124,0,4,8,194,259,2252,308,412,23,141,88,230,50,73,104,22,60,4242,4002,6383,14114,8047,17452,11935,17362,21694,37803,2116,15176,2043430,330572,0,4205,10997,2,1,21,146,0,0,50711,2534181,36209,12309,1997892,171587,459,257,911,0,0,216,795,213904,896,6,3783,34780,71391,75984,105113,97,0,102973,74,1,62255
2020-01-09,251,39281,663411,1275397,0,4,7,194,243,2278,298,400,22,142,90,234,61,85,103,29,67,4353,4067,6305,14017,8175,17592,11914,17276,21537,37153,2418,17146,2041476,331700,0,4230,11152,2,1,20,144,0,0,51194,2535690,36375,12606,1995763,170685,459,281,901,0,2,213,832,215115,1058,7,3747,34641,71325,75612,106929,95,0,104257,80,0,63134
